product_id,category,brand,name,price,original_price,rating,review_count,sales_count,stock,performance,battery,portability,display,camera,audio,gaming,office,connectivity,quality,sustainability,release_days,description,highlights,limitations
P00001,笔记本电脑,森屿,森屿 Air 10,6499,6799,4.4,200,1475,1621,0.3306,0.6389,0.7507,0.6624,0.4031,0.3471,0.691,0.895,0.3085,0.7216,0.6199,682,面向差旅通勤场景的笔记本电脑，主打办公效率高、轻便易携带、游戏体验稳定。,办公效率高、轻便易携带、游戏体验稳定,若特别在意性能流畅，建议对比同价位其他型号。
P00002,笔记本电脑,星云,星云 Pro 11,11599,12399,4.5,14,87,801,0.575,0.7811,1.0,0.8787,0.8261,0.8123,0.8473,0.7233,0.5629,0.6287,0.6585,820,面向影音娱乐场景的笔记本电脑，主打轻便易携带、屏幕素质好、游戏体验稳定。,轻便易携带、屏幕素质好、游戏体验稳定,若特别在意性能流畅，建议对比同价位其他型号。
P00003,笔记本电脑,极昼,极昼 Max 12,9999,11699,4.4,527,3124,973,0.8959,0.6314,0.6779,0.8164,0.479,0.6614,0.7572,0.6927,0.6734,0.7058,0.8458,751,面向影音娱乐场景的笔记本电脑，主打性能流畅、屏幕素质好、游戏体验稳定。,性能流畅、屏幕素质好、游戏体验稳定,若特别在意续航持久，建议对比同价位其他型号。
P00004,笔记本电脑,澄光,澄光 Neo 13,10399,11799,4.7,8,76,455,0.6816,0.7045,0.7825,0.8472,0.8256,0.5864,0.81,0.6083,0.7287,0.7382,0.5616,110,面向内容创作场景的笔记本电脑，主打屏幕素质好、游戏体验稳定、轻便易携带。,屏幕素质好、游戏体验稳定、轻便易携带,若特别在意办公效率高，建议对比同价位其他型号。
P00005,笔记本电脑,森屿,森屿 S 14,6299,6599,4.6,260,4987,230,0.4592,0.6243,0.4222,0.662,0.4116,0.2518,0.3149,0.517,0.602,0.7129,0.2583,738,面向影音娱乐场景的笔记本电脑，主打屏幕素质好、续航持久、办公效率高。,屏幕素质好、续航持久、办公效率高,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00006,笔记本电脑,极昼,极昼 One 15,8599,9699,4.4,95,977,245,0.5094,0.7064,0.6615,0.8052,0.5033,0.6906,0.4808,0.667,0.5488,0.5898,0.499,771,面向学习办公场景的笔记本电脑，主打屏幕素质好、续航持久、办公效率高。,屏幕素质好、续航持久、办公效率高,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00007,笔记本电脑,云驰,云驰 Go 16,9499,9999,4.1,683,4311,85,0.6136,0.6624,0.7312,0.7111,0.3014,0.645,0.6171,0.5408,0.6933,0.619,0.5253,476,面向学习办公场景的笔记本电脑，主打轻便易携带、屏幕素质好、续航持久。,轻便易携带、屏幕素质好、续航持久,若特别在意办公效率高，建议对比同价位其他型号。
P00008,笔记本电脑,星云,星云 Studio 17,4499,5199,4.4,132,1187,195,0.4717,0.5749,0.5842,0.2997,0.3809,0.373,0.3305,0.5406,0.344,0.5309,0.1132,623,面向影音娱乐场景的笔记本电脑，主打轻便易携带、续航持久、办公效率高。,轻便易携带、续航持久、办公效率高,若特别在意屏幕素质好，建议对比同价位其他型号。
P00009,笔记本电脑,岚川,岚川 Air 18,10999,11599,4.7,8,100,681,0.9224,0.828,0.5782,0.7024,0.6247,0.7552,0.7406,0.8704,0.5205,0.9239,0.393,570,面向轻度游戏场景的笔记本电脑，主打性能流畅、办公效率高、续航持久。,性能流畅、办公效率高、续航持久,若特别在意轻便易携带，建议对比同价位其他型号。
P00010,笔记本电脑,星云,星云 Pro 19,6999,7999,4.2,12,134,1215,0.705,0.8072,0.5492,0.7202,0.3795,0.3711,0.4519,0.7442,0.423,0.4543,0.301,181,面向编程开发场景的笔记本电脑，主打续航持久、办公效率高、屏幕素质好。,续航持久、办公效率高、屏幕素质好,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00011,笔记本电脑,澄光,澄光 Max 20,11799,12299,4.7,55,521,146,0.9039,0.9697,0.934,1.0,0.7644,0.5323,0.83,0.9639,0.7327,1.0,0.7995,582,面向编程开发场景的笔记本电脑，主打屏幕素质好、续航持久、办公效率高。,屏幕素质好、续航持久、办公效率高,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00012,笔记本电脑,玄甲,玄甲 Neo 21,5899,6699,4.0,84,721,726,0.386,0.6441,0.4207,0.3405,0.0964,0.3188,0.3376,0.5703,0.2217,0.2752,0.448,113,面向差旅通勤场景的笔记本电脑，主打续航持久、办公效率高、轻便易携带。,续航持久、办公效率高、轻便易携带,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00013,笔记本电脑,矩阵,矩阵 S 22,8699,9799,4.4,366,3702,1422,0.7237,0.8208,0.6993,0.6603,0.6591,0.6844,0.692,0.5671,0.3759,0.6556,0.5471,763,面向差旅通勤场景的笔记本电脑，主打续航持久、性能流畅、轻便易携带。,续航持久、性能流畅、轻便易携带,若特别在意办公效率高，建议对比同价位其他型号。
P00014,笔记本电脑,岚川,岚川 One 23,8799,10099,4.6,25,501,136,0.7002,0.8815,0.4709,0.6988,0.6857,0.7009,0.7635,0.8563,0.4233,0.7515,0.5026,532,面向影音娱乐场景的笔记本电脑，主打续航持久、办公效率高、游戏体验稳定。,续航持久、办公效率高、游戏体验稳定,若特别在意轻便易携带，建议对比同价位其他型号。
P00015,笔记本电脑,星云,星云 Go 24,3899,4499,3.9,147,1074,1286,0.299,0.238,0.4951,0.4139,0.1704,0.1994,0.2874,0.4149,0.3257,0.106,0.2099,350,面向轻度游戏场景的笔记本电脑，主打轻便易携带、办公效率高、屏幕素质好。,轻便易携带、办公效率高、屏幕素质好,若特别在意续航持久，建议对比同价位其他型号。
P00016,笔记本电脑,极昼,极昼 Studio 25,11399,12799,4.7,118,1710,152,0.6651,0.9706,0.5489,0.7123,0.9488,0.744,0.8243,0.9244,0.9912,0.6483,0.6889,882,面向内容创作场景的笔记本电脑，主打续航持久、办公效率高、游戏体验稳定。,续航持久、办公效率高、游戏体验稳定,若特别在意轻便易携带，建议对比同价位其他型号。
P00017,笔记本电脑,极昼,极昼 Air 26,5999,6199,4.2,158,1110,1281,0.6725,0.713,0.6223,0.969,0.4564,0.3608,0.8501,0.3456,0.6346,0.3971,0.5595,458,面向编程开发场景的笔记本电脑，主打屏幕素质好、游戏体验稳定、续航持久。,屏幕素质好、游戏体验稳定、续航持久,若特别在意办公效率高，建议对比同价位其他型号。
P00018,笔记本电脑,玄甲,玄甲 Pro 27,4999,5599,4.2,237,1644,709,0.4525,0.1544,0.4142,0.4844,0.229,0.4032,0.5307,0.511,0.0,0.2353,0.3527,170,面向学习办公场景的笔记本电脑，主打游戏体验稳定、办公效率高、屏幕素质好。,游戏体验稳定、办公效率高、屏幕素质好,若特别在意续航持久，建议对比同价位其他型号。
P00019,笔记本电脑,澄光,澄光 Max 28,3799,4099,3.8,34,356,34,0.2821,0.382,0.2738,0.2527,0.1821,0.1815,0.3949,0.0833,0.3397,0.0386,0.326,715,面向轻度游戏场景的笔记本电脑，主打游戏体验稳定、续航持久、性能流畅。,游戏体验稳定、续航持久、性能流畅,若特别在意办公效率高，建议对比同价位其他型号。
P00020,笔记本电脑,玄甲,玄甲 Neo 29,6399,6799,4.0,23,194,152,0.7207,0.4408,0.64,0.5813,0.4276,0.8396,0.49,0.5431,0.3796,0.3123,0.3933,21,面向内容创作场景的笔记本电脑，主打性能流畅、轻便易携带、屏幕素质好。,性能流畅、轻便易携带、屏幕素质好,若特别在意续航持久，建议对比同价位其他型号。
P00021,笔记本电脑,星云,星云 S 30,10099,11399,4.0,291,2277,495,0.7266,0.9407,0.5381,0.725,0.7207,0.7062,0.9394,0.8189,0.4888,0.5569,0.8476,89,面向影音娱乐场景的笔记本电脑，主打续航持久、游戏体验稳定、办公效率高。,续航持久、游戏体验稳定、办公效率高,若特别在意轻便易携带，建议对比同价位其他型号。
