review_id,product_id,user_id,rating,review_text,helpful_votes,review_time
R000001,P00716,U02484,5,连接稳定；游戏体验稳定、轻便易携带、连接稳定方面体验较突出。,95,2026-03-21T09:00:00+10:00
R000002,P00088,U02214,5,连接稳定；游戏体验稳定、轻便易携带、性能流畅方面体验较突出。,174,2026-03-19T09:00:00+10:00
R000003,P00167,U01895,5,续航表现符合预期；连接稳定、性能流畅、屏幕素质好方面体验较突出。,105,2026-05-05T09:00:00+10:00
R000004,P00086,U00560,4,连接稳定；屏幕素质好、轻便易携带、游戏体验稳定方面体验较突出。,17,2025-03-03T09:00:00+10:00
R000005,P00208,U00751,5,做工扎实；连接稳定、轻便易携带、续航持久方面体验较突出。,50,2024-12-20T09:00:00+10:00
R000006,P00556,U01666,4,性价比可以；品质可靠、屏幕素质好、办公效率高方面体验较突出。,119,2025-12-15T09:00:00+10:00
R000007,P00384,U00005,4,续航表现符合预期；连接稳定、品质可靠、轻便易携带方面体验较突出。,144,2026-02-01T09:00:00+10:00
R000008,P00090,U02282,4,屏幕观感不错；轻便易携带、游戏体验稳定、续航持久方面体验较突出。,28,2025-05-14T09:00:00+10:00
R000009,P00518,U02168,4,日常使用很流畅；屏幕素质好、办公效率高、品质可靠方面体验较突出。,34,2024-09-18T09:00:00+10:00
R000010,P00093,U02179,4,续航表现符合预期；轻便易携带、续航持久、游戏体验稳定方面体验较突出。,168,2024-09-26T09:00:00+10:00
R000011,P00142,U01588,5,性价比可以；轻便易携带、性能流畅、续航持久方面体验较突出。,143,2026-05-27T09:00:00+10:00
R000012,P00563,U00461,5,做工扎实；品质可靠、屏幕素质好、连接稳定方面体验较突出。,113,2025-01-12T09:00:00+10:00
R000013,P00011,U00986,5,连接稳定；屏幕素质好、续航持久、办公效率高方面体验较突出。,3,2025-01-15T09:00:00+10:00
R000014,P00260,U02461,3,整体满意，但仍有提升空间；音质和降噪好、性能流畅、屏幕素质好方面体验较突出。,3,2026-05-25T09:00:00+10:00
R000015,P00070,U01573,5,屏幕观感不错；性能流畅、办公效率高、轻便易携带方面体验较突出。,79,2026-04-14T09:00:00+10:00
R000016,P00124,U02313,5,做工扎实；拍照清晰、连接稳定、轻便易携带方面体验较突出。,128,2026-05-25T09:00:00+10:00
R000017,P00515,U00365,3,功能够用，细节中规中矩；连接稳定、办公效率高、品质可靠方面体验较突出。,85,2024-10-01T09:00:00+10:00
R000018,P00362,U00273,5,续航表现符合预期；品质可靠、连接稳定、音质和降噪好方面体验较突出。,97,2026-08-08T09:00:00+10:00
R000019,P00356,U00212,5,性价比可以；办公效率高、续航持久、性能流畅方面体验较突出。,62,2026-08-04T09:00:00+10:00
