query_id,user_id,query_text,category,use_case,budget_min,budget_max,preferred_brand,primary_preference,pref_performance,pref_battery,pref_portability,pref_display,pref_camera,pref_audio,pref_gaming,pref_office,pref_connectivity,pref_quality,pref_sustainability,query_time,split
Q000001,U02277,3700元以内的显示器，影音娱乐用，要求游戏体验稳定,显示器,影音娱乐,2199,3700,矩阵,gaming,0.08753,0.12399,0.01459,0.21535,0.01459,0.1787,0.24909,0.02521,0.03566,0.04071,0.01459,2026-03-14T17:19:00+10:00,train
Q000002,U02136,预算3300元，主要用于影音娱乐，希望续航持久，帮我推荐平板电脑,平板电脑,影音娱乐,2399,3300,星云,battery,0.09992,0.36813,0.02956,0.21184,0.01453,0.18539,0.01453,0.03253,0.01453,0.01453,0.01453,2026-03-14T17:48:00+10:00,train
Q000003,U01212,请推荐适合差旅通勤的笔记本电脑，预算6700元左右，优先考虑游戏体验稳定,笔记本电脑,差旅通勤,4499,6700,岚川,gaming,0.04019,0.20512,0.20138,0.03795,0.01401,0.01401,0.24461,0.0255,0.11913,0.08409,0.01401,2026-03-14T18:13:00+10:00,train
Q000004,U01913,7000元以内的笔记本电脑，学习办公用，要求续航持久,笔记本电脑,学习办公,4399,7000,玄甲,battery,0.03539,0.38363,0.15541,0.11352,0.01383,0.01383,0.03479,0.2081,0.01383,0.01383,0.01383,2026-03-14T18:54:00+10:00,train
Q000005,U00348,请推荐适合轻度游戏的头戴耳机，预算2300元左右，优先考虑连接稳定,头戴耳机,轻度游戏,1399,2300,岚川,connectivity,0.17586,0.02642,0.03878,0.13997,0.01436,0.02448,0.19381,0.01436,0.25307,0.10454,0.01436,2026-03-14T19:12:00+10:00,train
Q000006,U00823,请推荐适合内容创作的头戴耳机，预算1000元左右，优先考虑续航持久,头戴耳机,内容创作,699,1000,星云,battery,0.1935,0.26515,0.02752,0.17558,0.12183,0.02808,0.01433,0.01433,0.02973,0.11561,0.01433,2026-03-14T19:54:00+10:00,train
Q000007,U00953,11600元以内的笔记本电脑，影音娱乐用，要求性能流畅,笔记本电脑,影音娱乐,8599,11600,云驰,performance,0.33329,0.14114,0.03486,0.20525,0.01434,0.17565,0.02982,0.02264,0.01434,0.01434,0.01434,2026-03-14T20:29:00+10:00,train
Q000008,U01576,想买一款笔记本电脑，平时内容创作，预算不超过8100元，比较看重办公效率高,笔记本电脑,内容创作,5299,8100,星云,office,0.20661,0.03695,0.01945,0.1887,0.11934,0.01404,0.02929,0.25573,0.01404,0.10179,0.01404,2026-03-14T20:51:00+10:00,train
Q000009,U01943,请推荐适合学习办公的智能手机，预算3100元左右，优先考虑性能流畅,智能手机,学习办公,2199,3100,矩阵,performance,0.23847,0.17384,0.15864,0.1248,0.03806,0.01393,0.01393,0.18804,0.02243,0.01393,0.01393,2026-03-14T21:20:00+10:00,train
Q000010,U01918,预算1800元，主要用于轻度游戏，希望品质可靠，帮我推荐头戴耳机,头戴耳机,轻度游戏,1399,1800,云驰,quality,0.18131,0.02293,0.02112,0.14431,0.0148,0.02231,0.19982,0.0148,0.03621,0.3276,0.0148,2026-03-14T21:54:00+10:00,train
Q000011,U01264,想买一款智能手机，平时学习办公，预算不超过7100元，比较看重续航持久,智能手机,学习办公,5399,7100,森屿,battery,0.03803,0.38962,0.14773,0.12805,0.02825,0.01418,0.01418,0.19145,0.02016,0.01418,0.01418,2026-03-14T22:12:00+10:00,train
Q000012,U01311,4000元以内的平板电脑，差旅通勤用，要求续航持久,平板电脑,差旅通勤,2299,4000,玄甲,battery,0.0388,0.42543,0.21313,0.02605,0.01416,0.02357,0.01416,0.02514,0.1204,0.08499,0.01416,2026-03-14T22:47:00+10:00,train
Q000013,U02251,想买一款笔记本电脑，平时轻度游戏，预算不超过5100元，比较看重性能流畅,笔记本电脑,轻度游戏,3199,5100,云驰,performance,0.39914,0.03717,0.02144,0.15311,0.01399,0.01399,0.21433,0.03493,0.01399,0.08392,0.01399,2026-03-14T23:21:00+10:00,train
Q000014,U01432,4100元以内的显示器，学习办公用，要求品质可靠,显示器,学习办公,2299,4100,矩阵,quality,0.01408,0.15493,0.13732,0.12425,0.01408,0.01408,0.04004,0.20455,0.02695,0.25562,0.01408,2026-03-14T23:44:00+10:00,train
Q000015,U02010,预算3700元，主要用于差旅通勤，希望拍照清晰，帮我推荐智能手机,智能手机,差旅通勤,2599,3700,矩阵,camera,0.03876,0.18709,0.21283,0.0353,0.25818,0.014,0.014,0.014,0.12787,0.08398,0.014,2026-03-15T00:11:00+10:00,train
Q000016,U00253,预算2800元，主要用于轻度游戏，希望轻便易携带，帮我推荐平板电脑,平板电脑,轻度游戏,2099,2800,澄光,portability,0.18519,0.03064,0.25392,0.15368,0.01432,0.03415,0.19326,0.02031,0.01432,0.0859,0.01432,2026-03-15T01:00:00+10:00,train
