user_id,age_group,city_tier,price_sensitivity,preferred_brand,preferred_category,primary_use_case,created_at
U00001,25-34,三线及以下,0.7131,岚川,显示器,轻度游戏,2026-05-07T09:00:00+10:00
U00002,35-44,新一线,0.416,云驰,平板电脑,轻度游戏,2025-02-14T09:00:00+10:00
U00003,18-24,二线,0.3263,玄甲,显示器,影音娱乐,2025-10-06T09:00:00+10:00
U00004,18-24,新一线,0.5443,澄光,显示器,内容创作,2025-04-23T09:00:00+10:00
U00005,18-24,一线,0.6207,澄光,头戴耳机,学习办公,2024-09-22T09:00:00+10:00
U00006,35-44,三线及以下,0.8163,森屿,智能手机,内容创作,2026-05-24T09:00:00+10:00
U00007,18-24,一线,0.9544,矩阵,头戴耳机,学习办公,2025-04-30T09:00:00+10:00
U00008,25-34,三线及以下,0.7907,云驰,笔记本电脑,差旅通勤,2024-06-15T09:00:00+10:00
U00009,35-44,二线,0.5802,澄光,平板电脑,差旅通勤,2024-03-22T09:00:00+10:00
U00010,35-44,三线及以下,0.562,星云,显示器,差旅通勤,2026-03-28T09:00:00+10:00
U00011,45+,二线,0.1893,澄光,平板电脑,学习办公,2026-06-22T09:00:00+10:00
U00012,35-44,三线及以下,0.6824,玄甲,键鼠套装,编程开发,2025-12-28T09:00:00+10:00
U00013,45+,二线,0.206,矩阵,笔记本电脑,学习办公,2025-04-14T09:00:00+10:00
U00014,18-24,三线及以下,0.5132,矩阵,平板电脑,差旅通勤,2025-04-14T09:00:00+10:00
U00015,45+,二线,0.7726,森屿,头戴耳机,内容创作,2024-12-21T09:00:00+10:00
U00016,18-24,一线,0.7994,玄甲,平板电脑,学习办公,2025-03-04T09:00:00+10:00
U00017,18-24,一线,0.413,玄甲,笔记本电脑,差旅通勤,2025-12-13T09:00:00+10:00
U00018,45+,三线及以下,0.4529,森屿,显示器,编程开发,2025-08-31T09:00:00+10:00
U00019,25-34,二线,0.4005,岚川,头戴耳机,编程开发,2024-08-25T09:00:00+10:00
U00020,35-44,一线,0.3925,玄甲,显示器,差旅通勤,2025-07-08T09:00:00+10:00
U00021,25-34,三线及以下,0.6034,澄光,笔记本电脑,学习办公,2026-07-21T09:00:00+10:00
U00022,18-24,二线,0.9379,星云,智能手机,编程开发,2025-10-28T09:00:00+10:00
U00023,18-24,三线及以下,0.8061,星云,智能手机,内容创作,2025-07-16T09:00:00+10:00
U00024,25-34,一线,0.5029,玄甲,显示器,编程开发,2026-06-23T09:00:00+10:00
U00025,25-34,二线,0.739,星云,笔记本电脑,编程开发,2025-12-09T09:00:00+10:00
U00026,18-24,二线,0.6162,玄甲,显示器,轻度游戏,2024-12-08T09:00:00+10:00
U00027,35-44,一线,0.9117,岚川,笔记本电脑,内容创作,2024-05-06T09:00:00+10:00
U00028,25-34,三线及以下,0.9234,澄光,头戴耳机,编程开发,2026-07-26T09:00:00+10:00
U00029,18-24,一线,0.4046,玄甲,智能手机,学习办公,2024-11-01T09:00:00+10:00
U00030,18-24,二线,0.423,玄甲,笔记本电脑,影音娱乐,2026-06-07T09:00:00+10:00
U00031,18-24,一线,0.7867,云驰,智能手机,影音娱乐,2024-07-10T09:00:00+10:00
U00032,18-24,二线,0.7246,澄光,平板电脑,内容创作,2026-05-08T09:00:00+10:00
U00033,35-44,二线,0.2067,极昼,头戴耳机,内容创作,2025-11-17T09:00:00+10:00
U00034,25-34,二线,0.7082,岚川,显示器,轻度游戏,2025-02-11T09:00:00+10:00
U00035,18-24,二线,0.7924,云驰,智能手机,学习办公,2026-01-09T09:00:00+10:00
U00036,35-44,一线,0.6583,澄光,显示器,学习办公,2026-02-13T09:00:00+10:00
U00037,25-34,新一线,0.636,澄光,显示器,影音娱乐,2025-10-11T09:00:00+10:00
U00038,25-34,一线,0.683,极昼,头戴耳机,差旅通勤,2025-08-04T09:00:00+10:00
U00039,18-24,新一线,0.4515,极昼,智能手机,学习办公,2026-07-18T09:00:00+10:00
U00040,25-34,一线,0.5925,矩阵,智能手机,轻度游戏,2024-06-11T09:00:00+10:00
