interaction_id,query_id,user_id,product_id,position,clicked,added_to_cart,purchased,dwell_seconds,relevance_grade,event_time,split
I00000001,Q000001,U02277,P00571,1,1,0,0,38.1,1,2026-03-14T17:19:40+10:00,train
I00000002,Q000001,U02277,P00593,2,1,1,0,64.2,3,2026-03-14T17:19:39+10:00,train
I00000003,Q000001,U02277,P00482,3,1,0,0,39.8,2,2026-03-14T17:19:22+10:00,train
I00000004,Q000001,U02277,P00537,4,0,0,0,0,2,2026-03-14T17:19:58+10:00,train
I00000005,Q000001,U02277,P00578,5,1,0,0,34.2,1,2026-03-14T17:20:19+10:00,train
I00000006,Q000001,U02277,P00514,6,1,0,0,62.8,3,2026-03-14T17:20:03+10:00,train
I00000007,Q000001,U02277,P00545,7,0,0,0,0,3,2026-03-14T17:20:13+10:00,train
I00000008,Q000001,U02277,P00561,8,0,0,0,0,1,2026-03-14T17:20:24+10:00,train
I00000009,Q000001,U02277,P00522,9,1,0,0,53.6,3,2026-03-14T17:20:44+10:00,train
I00000010,Q000001,U02277,P00560,10,1,0,0,67.5,3,2026-03-14T17:20:26+10:00,train
I00000011,Q000001,U02277,P00554,11,1,1,1,57.8,3,2026-03-14T17:20:48+10:00,train
I00000012,Q000001,U02277,P00530,12,1,0,0,50.6,2,2026-03-14T17:20:32+10:00,train
I00000013,Q000002,U02136,P00254,1,0,0,0,0,2,2026-03-14T17:48:27+10:00,train
I00000014,Q000002,U02136,P00318,2,1,0,0,66.0,3,2026-03-14T17:48:48+10:00,train
I00000015,Q000002,U02136,P00289,3,0,0,0,0,2,2026-03-14T17:48:57+10:00,train
I00000016,Q000002,U02136,P00270,4,1,1,0,47.8,2,2026-03-14T17:48:38+10:00,train
I00000017,Q000002,U02136,P00334,5,0,0,0,0,0,2026-03-14T17:49:24+10:00,train
I00000018,Q000002,U02136,P00325,6,1,0,0,49.3,1,2026-03-14T17:49:25+10:00,train
I00000019,Q000002,U02136,P00279,7,1,0,0,45.9,2,2026-03-14T17:49:06+10:00,train
I00000020,Q000002,U02136,P00324,8,0,0,0,0,1,2026-03-14T17:49:18+10:00,train
I00000021,Q000002,U02136,P00357,9,0,0,0,0,2,2026-03-14T17:49:19+10:00,train
I00000022,Q000002,U02136,P00311,10,0,0,0,0,0,2026-03-14T17:49:53+10:00,train
I00000023,Q000002,U02136,P00295,11,0,0,0,0,2,2026-03-14T17:50:01+10:00,train
I00000024,Q000002,U02136,P00261,12,0,0,0,0,1,2026-03-14T17:49:34+10:00,train
I00000025,Q000003,U01212,P00118,1,0,0,0,0,0,2026-03-14T18:13:57+10:00,train
I00000026,Q000003,U01212,P00065,2,1,0,0,36.9,2,2026-03-14T18:13:56+10:00,train
I00000027,Q000003,U01212,P00016,3,0,0,0,0,0,2026-03-14T18:14:01+10:00,train
I00000028,Q000003,U01212,P00001,4,0,0,0,0,2,2026-03-14T18:14:00+10:00,train
I00000029,Q000003,U01212,P00114,5,0,0,0,0,2,2026-03-14T18:14:09+10:00,train
I00000030,Q000003,U01212,P00025,6,0,0,0,0,1,2026-03-14T18:13:45+10:00,train
I00000031,Q000003,U01212,P00017,7,1,0,0,46.6,2,2026-03-14T18:14:35+10:00,train
I00000032,Q000003,U01212,P00081,8,0,0,0,0,1,2026-03-14T18:14:17+10:00,train
I00000033,Q000003,U01212,P00072,9,0,0,0,0,2,2026-03-14T18:14:28+10:00,train
I00000034,Q000003,U01212,P00099,10,1,0,0,11.9,0,2026-03-14T18:14:37+10:00,train
I00000035,Q000003,U01212,P00054,11,0,0,0,0,2,2026-03-14T18:14:56+10:00,train
I00000036,Q000003,U01212,P00019,12,0,0,0,0,2,2026-03-14T18:15:04+10:00,train
I00000037,Q000004,U01913,P00005,1,1,1,1,45.5,3,2026-03-14T18:54:20+10:00,train
I00000038,Q000004,U01913,P00023,2,0,0,0,0,1,2026-03-14T18:54:18+10:00,train
I00000039,Q000004,U01913,P00087,3,1,0,0,34.7,2,2026-03-14T18:54:51+10:00,train
I00000040,Q000004,U01913,P00104,4,1,0,0,46.2,2,2026-03-14T18:55:13+10:00,train
I00000041,Q000004,U01913,P00044,5,0,0,0,0,1,2026-03-14T18:55:00+10:00,train
I00000042,Q000004,U01913,P00073,6,0,0,0,0,2,2026-03-14T18:55:22+10:00,train
I00000043,Q000004,U01913,P00048,7,0,0,0,0,2,2026-03-14T18:55:09+10:00,train
I00000044,Q000004,U01913,P00072,8,1,0,0,42.2,2,2026-03-14T18:55:41+10:00,train
I00000045,Q000004,U01913,P00092,9,0,0,0,0,2,2026-03-14T18:55:30+10:00,train
I00000046,Q000004,U01913,P00050,10,0,0,0,0,2,2026-03-14T18:55:24+10:00,train
I00000047,Q000004,U01913,P00031,11,1,0,0,75.1,3,2026-03-14T18:55:37+10:00,train
I00000048,Q000004,U01913,P00020,12,1,1,1,52.4,3,2026-03-14T18:55:43+10:00,train
